Ticker,Company Name,P/E,P/B,ROE,D/E,EPS Growth,Market Cap
MMM,3M Company,18.415941,17.827608,0.93824,312.492,0.221,79586205696
AOS,A. O. Smith Corporation,19.092178,5.235943,0.27969998,15.945,-0.05,9713148928
ABT,Abbott Laboratories,16.696104,4.582427,0.30649,27.087,0.086,223673827328
ABBV,AbbVie Inc.,76.15451,220.69652,0.884,4789.603,-0.063,313430016000
ACN,Accenture plc,26.414675,6.8630853,0.26965,26.706,0.072,200584986624
ADBE,Adobe Inc.,26.385073,13.270105,0.47284,50.118,2.044,170254106624
AMD,"Advanced Micro Devices, Inc.",85.92701,3.2867074,0.03904,8.174,5.252,190871224320
AES,The AES Corporation,6.804348,2.5703144,0.05583,361.561,-0.892,8913275904
AFL,Aflac Incorporated,16.158632,2.1400619,0.14408,42.513,-0.985,56173015040
A,"Agilent Technologies, Inc.",25.57798,5.277804,0.20614,58.736,-0.059,31794685952
APD,"Air Products and Chemicals, Inc.",39.061874,4.1089754,0.095790006,98.527,,60416245760
ABNB,"Airbnb, Inc.",34.974552,10.719856,0.3206,28.726,-0.395,84835926016
AKAM,"Akamai Technologies, Inc.",26.010067,2.4698873,0.09821,100.746,-0.261,11332427776
ALB,Albemarle Corporation,,0.92211545,-0.09992,35.757,,7186734080
ARE,"Alexandria Real Estate Equities, Inc.",93.40789,0.6915396,0.01476,61.193,,12280487936
ALGN,"Align Technology, Inc.",34.11818,3.6131701,0.108430006,3.124,-0.088,13601772544
ALLE,Allegion plc,19.842476,7.555698,0.42051998,133.636,0.213,12139834368
LNT,Alliant Energy Corporation,20.851725,2.1899104,0.10712,149.852,0.345,15533292544
ALL,The Allstate Corporation,13.69215,2.650677,0.19723,36.672,-0.527,53119840256
GOOGL,Alphabet Inc.,18.435896,5.821862,0.34789002,8.254,0.488,2014421581824
GOOG,Alphabet Inc.,18.617188,5.8725576,0.34789002,8.254,0.488,2014781243392
MO,"Altria Group, Inc.",9.451343,-27.055716,,,-0.475,94885076992
AMZN,"Amazon.com, Inc.",34.29853,7.295281,0.2524,51.641,0.622,2232097964032
AMCR,Amcor plc,16.392859,3.443361,0.20796,241.41,0.053,21034502144
AEE,Ameren Corporation,21.066519,2.1017587,0.10159001,158.916,0.092,25679208448
AEP,"American Electric Power Company, Inc.",19.032818,1.9270161,0.10421,171.503,-0.211,52666281984
AXP,American Express Company,20.94208,6.7421536,0.34273,170.351,0.093,210246762496
AIG,"American International Group, Inc.",19.973171,1.1471437,0.057439998,21.112,-0.333,47195660288
AMT,American Tower Corporation,33.090614,27.082504,0.28421,446.681,-0.471,95734218752
AWK,"American Water Works Company, Inc.",24.37523,2.4773684,0.10428,137.735,0.107,26096506880
AMP,"Ameriprise Financial, Inc.",17.737844,9.18514,0.58108,74.235,-0.384,49674825728
AME,"AMETEK, Inc.",29.30719,4.1534863,0.14964,21.761,0.134,41410457600
AMGN,Amgen Inc.,23.887068,22.720028,1.0567299,924.456,,141029523456
APH,Amphenol Corporation,41.567963,10.05283,0.27526,69.096,0.318,103764713472
ADI,"Analog Devices, Inc.",72.46645,3.20775,0.04429,21.725,-0.161,112497278976
ANSS,"ANSYS, Inc.",51.68945,4.949068,0.102299996,13.932,0.477,30583371776
AON,Aon plc,30.416235,10.867298,0.72012,254.468,-0.172,76058386432
APA,APA Corporation,6.512545,1.2081118,0.26176,84.961,1.181,6556553728
APO,"Apollo Global Management, Inc.",25.172775,4.9631824,0.18686001,90.49,-0.703,82432303104
AAPL,Apple Inc.,33.021774,47.490494,1.38015,146.994,0.078,3171318497280
AMAT,"Applied Materials, Inc.",22.7634,7.5960746,0.35186002,35.372,-0.398,141478477824
APTV,Aptiv PLC,11.343137,1.7335931,0.15237,91.193,,15114816512
ACGL,Arch Capital Group Ltd.,9.317948,1.6405728,0.18415001,12.662,-0.493,34046492672
ADM,Archer-Daniels-Midland Company,17.397888,1.0722424,0.05888,55.504,-0.57,23739033600
ANET,Arista Networks Inc,41.44304,12.196696,0.33681,,0.28,123356463104
AJG,Arthur J. Gallagher & Co.,50.791992,3.7822707,0.092980005,60.048,-0.007,84405313536
AIZ,"Assurant, Inc.",15.311233,1.905765,0.13204001,39.809,-0.367,9952354304
T,AT&T Inc.,16.22086,1.8338188,0.10885,119.246,0.296,190251663360
ATO,Atmos Energy Corporation,21.263968,1.84068,0.09186,64.747,0.063,24166338560
ADSK,"Autodesk, Inc.",57.835617,24.129654,0.49687,97.634,0.069,63229304832
ADP,"Automatic Data Processing, Inc.",31.669395,21.470404,0.76289004,74.577,0.063,125596639232
AZO,"AutoZone, Inc.",24.454483,-13.695201,,,-0.021,60983304192
AVB,"AvalonBay Communities, Inc.",25.074627,2.4056132,0.096920006,71.138,0.362,28701388800
AVY,Avery Dennison Corporation,20.772152,6.5328794,0.31949,159.369,-0.019,14111476736
AXON,"Axon Enterprise, Inc.",176.39952,22.190308,0.15166001,80.08,-0.376,56714752000
BKR,Baker Hughes Company,12.914676,2.1989772,0.18035999,35.011,-0.111,37489979392
BALL,Ball Corporation,30.05682,2.687462,0.08219,126.809,-0.946,14675411968
BAC,Bank of America Corporation,13.355225,1.2295938,0.094560005,,0.184,336976314368
